Date,Check,Amount,Purchase,Category,FOIA No,Link,Requested Date,First Response,Received Date,Muckrock Link
10/8/2010,15157,205000.0,pods,surveillance,16-0190,15157.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/20/2010,15164,38822.2,phones,routine,16-0190,15164.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/20/2010,15166,40339.26,phones,routine,16-0190,15166.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/20/2010,15168,21521.02,phones,routine,16-0190,15168.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/20/2010,15169,21538.0,phones,routine,16-0190,15169.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/20/2010,15170,21073.6,phones,routine,16-0190,15170.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/21/2010,15179,8500.0,lexis nexis,routine,16-0190,15179.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/21/2010,15180,41433.29,phones,routine,16-0189,15180.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
10/22/2010,15182,5881.0,lexis nexis,routine,16-0189,15182.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
10/22/2010,15183,5239.08,gang intelligence reporting,routine,16-0189,15183.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
10/22/2010,15184,5487.4,audio / video supplies,routine,16-0189,15184.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
10/27/2010,15196,5494.61,trunking,routine,16-0189,15196.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/1/2010,15204,14790.0,redacted,redacted,16-0189,15204.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/1/2010,15205,5240.0,pinhole cameras,surveillance,16-0189,15205.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/9/2010,15219,128055.19,enterprise,routine,16-0189,15219.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/16/2010,15231,11840.0,pinhole camera,surveillance,16-0189,15231.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/17/2010,15232,8500.0,lexis nexis,routine,16-0189,15232.pdf,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/29/2010,15237,5959.0,lexis nexis,routine,15-0583,15237.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/1/2010,15244,38929.58,phones,routine,15-0583,15244.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/2/2010,15249,6918.14,vehicle repairs,routine,15-0583,15249.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/7/2010,15261,41809.32,phones,routine,15-0583,15261.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/15/2010,15281,8500.0,lexis nexis,routine,15-0583,15281.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/15/2010,15282,5326.62,vehicle repairs,routine,15-0583,15282.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/15/2010,15283,130550.33,enterprise,routine,16-0584,15283.pdf,No data,No data,No data,No data
1/3/2011,15298,8019.93,t1 internet access,routine,16-0584,15298.pdf,No data,No data,No data,No data
1/5/2011,15300,5895.0,lexis nexis,routine,16-0584,15300.pdf,No data,No data,No data,No data
1/7/2011,15303,42539.01,phones,routine,16-0584,15303.pdf,No data,No data,No data,No data
1/10/2011,15304,21406.17,phones,routine,16-0584,15304.pdf,No data,No data,No data,No data
1/10/2011,15305,5355.0,camera equipment,surveillance,16-0584,15305.pdf,No data,No data,No data,No data
1/21/2011,15318,8500.0,lexis nexis,routine,16-0584,15318.pdf,No data,No data,No data,No data
1/21/2011,15325,5938.04,vehicle repairs,routine,16-0584,15325.pdf,No data,No data,No data,No data
1/25/2011,15339,5655.5,lexis nexis,routine,16-0584,15339.pdf,No data,No data,No data,No data
2/1/2011,15350,129615.73,enterprise,routine,16-0584,15350.pdf,No data,No data,No data,No data
2/7/2011,15363,14028.3,gps trackers,surveillance,16-0585,15363.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2/9/2011,15364,5586.0,hard drives,routine,16-0585,15364.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2/16/2011,15376,42032.02,phones,routine,16-0585,15376.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2/18/2011,15378,129509.8,enterprise,routine,16-0585,15378.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2/18/2011,15379,8500.0,lexis nexis,routine,16-0585,15379.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/1/2011,15388,5818.75,lexis nexis,routine,16-0585,15388.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/4/2011,15411,135384.6,enterprise,routine,16-0585,15411.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/9/2011,15415,138866.0,pen-link pen registers,surveillance,16-0585,15415.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/10/2011,15417,21171.97,phones,routine,16-0585,15417.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/17/2011,15426,8500.0,lexis nexis,routine,16-0585,15426.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/23/2011,15499,133693.88,enterprise,routine,16-0586,15499.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
3/24/2011,15501,16464.34,vehicle repair,routine,16-0586,15501.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
3/25/2011,15512,20957.55,phones,routine,16-0586,15512.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/1/2011,15516,5817.0,lexis nexis,surveillance,16-0586,15516.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/18/2011,15548,6000.0,trap and trace,surveillance,16-0586,15548.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/18/2011,15553,5042.55,drug testing,routine,16-0586,15553.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/18/2011,15557,6600.24,vehicle repair,routine,16-0586,15557.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/19/2011,15558,131498.37,enterprise,routine,16-0586,15558.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/21/2011,15561,8500.0,lexis nexis,routine,16-0586,15561.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/21/2011,15565,5720.5,lexis nexis,routine,16-0586,15565.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/25/2011,15569,42855.57,phones,routine,16-0587,15569.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
4/27/2011,15589,40796.45,phones,routine,16-0587,15589.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/9/2011,15635,20348.64,phones,routine,16-0587,15635.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/11/2011,15639,38328.54,phones,routine,16-0587,15639.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/13/2011,15647,8500.0,lexis nexis,routine,16-0587,15647.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/23/2011,15664,135435.75,enterprise,routine,16-0587,15664.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/23/2011,15665,20759.59,phones,routine,16-0587,15665.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/24/2011,15672,19020.34,phones,routine,16-0587,15672.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
6/1/2011,15692,6336.28,vehicle repair,routine,16-0587,15692.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
6/1/2011,15694,35108.95,phones,routine,16-0587,15694.pdf,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
6/2/2011,15698,5971.25,lexis nexis,routine,P048638,15698.pdf,6/10/16,No data,6/20/16,Personal e-mail
6/3/2011,15704,6385.5,windows administrator training,routine,P048638,15704.pdf,6/10/16,No data,6/20/16,Personal e-mail
6/6/2011,15711,14028.3,freight security trackers,surveillance,P048638,15711.pdf,6/10/16,No data,6/20/16,Personal e-mail
6/14/2011,15721,19451.28,phones,routine,P048638,15721.pdf,6/10/16,No data,6/20/16,Personal e-mail
6/16/2011,15724,8500.0,lexis nexis,routine,P048638,15724.pdf,6/10/16,No data,6/20/16,Personal e-mail
6/16/2011,15726,5500.0,us cellular pen register coverage,surveillance,P048638,15726.pdf,6/10/16,No data,6/20/16,Personal e-mail
6/23/2011,15745,129020.01,enterprise,routine,P048638,15745.pdf,6/10/16,No data,6/20/16,Personal e-mail
6/27/2011,15747,11245.0,dell storage array,routine,P048638,15747.pdf,6/10/16,No data,6/20/16,Personal e-mail
7/8/2011,15763,5901.0,lexis nexis,routine,P048638,15763.pdf,6/10/16,No data,6/20/16,Personal e-mail
7/25/2011,15778,16746.28,verizon wireless,routine,P049387,15778.PDF,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
8/4/2011,15786,44520.0,"unclear, bought from research electronics international",surveillance?,16-0278,15786.pdf,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/4/2011,15788,128777.97,enterprise,routine,16-0278,15788.pdf,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/8/2011,15793,9625.0,t-mobile (for pen register investigation),surveillance,16-0278,15793.pdf,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/8/2011,15801,33617.49,phones,routine,16-0278,15801.pdf,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/8/2011,15802,30977.4,phones,routine,16-0278,15802.pdf,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/16/2011,15805,5552.5,lexis nexis,routine,16-0278,15805.odf,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/16/2011,15809,27407.53,phones,routine,16-0278,15809.pdf,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/17/2011,15810,8500.0,lexis nexis,routine,16-0278,15810.pdf,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/17/2011,15812,17960.19,phones,routine,16-0278,15826.pdf,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/26/2011,15826,8500.0,lexis nexis,routine,16-0278,15826.pdf,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
9/1/2011,15830,5955.39,at&t trunking,routine,P049387,15830.PDF,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
9/1/2011,15836,5200.0,t mobile,pen registers,P049387,15836.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
9/1/2011,15847,138467.13,enterprise,routine,P049387,15847.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
9/13/2011,15860,17309.03,verizon wireless,routine,P049387,15860.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
9/14/2011,15861,6275.0,us cellular pen register coverage,routine?,P049387,15861.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
9/14/2011,15871,19857.56,sprint,routine,P049387,15871.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
10/3/2011,15886,47000.0,research electronics international,??,P049387,15886.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
10/3/2011,15893,5569.25,unlimited web access to? payable to?,??,P049387,15893.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
10/3/2011,15894,8500.0,unlimited web access to public record payable to?,?,P049387,15894.pdf,7/5/16,7/12/16,7/12/16,https://www.muckrock.com/foi/chicago-169/1505ml-checks-15778-15894-26668/
